NO_OF_FRAMES	5500
NO_OF_CAMERAS	11
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-26, 18:32:39.510	442281.92392820
DATA_INCLUDED	6D
BODY_NAMES	karlax_bottompart	karlax_upperpart
BODY_FILTERS	No filter	No filter
karlax_bottompart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		karlax_upperpart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
190.69327	76.30530	956.68055	76.01073	75.44893	-178.46159	0.63262	-0.25115	-0.94537	0.20785	0.00675	-0.21644	-0.97627	0.96792	-0.24379	0.06074		202.27874	146.24836	1192.84735	178.02605	87.26759	72.33976	0.45683	0.01446	-0.94187	0.33567	-0.04542	-0.33598	-0.94077	0.99886	-0.00164	-0.04764	
191.18958	74.92677	956.86012	75.43507	75.38950	-177.94977	0.64630	-0.25209	-0.94496	0.20856	0.00902	-0.21781	-0.97595	0.96766	-0.24414	0.06343		202.19874	145.11243	1192.96673	177.49266	87.40519	72.80202	0.44644	0.01339	-0.94145	0.33688	-0.04325	-0.33714	-0.94046	0.99897	-0.00198	-0.04523	
191.69598	73.43041	957.00695	74.89730	75.30360	-177.43571	0.64143	-0.25344	-0.94460	0.20858	0.01135	-0.21851	-0.97577	0.96728	-0.24493	0.06610		202.15223	143.93580	1193.08247	175.78969	87.54853	74.46163	0.42957	0.01146	-0.94120	0.33765	-0.04121	-0.33783	-0.94030	0.99908	-0.00314	-0.04266	
192.25424	71.93822	957.18785	74.34438	75.26390	-176.97256	0.62162	-0.25401	-0.94418	0.20976	0.01343	-0.22030	-0.97534	0.96711	-0.24493	0.06864		202.15811	142.71686	1193.17630	175.31815	87.68347	74.84556	0.43015	0.01057	-0.94068	0.33912	-0.03901	-0.33927	-0.93988	0.99918	-0.00330	-0.04029	
192.79874	70.36054	957.35732	73.79324	75.16656	-176.50046	0.62024	-0.25553	-0.94356	0.21069	0.01563	-0.22192	-0.97494	0.96667	-0.24584	0.07145		202.18221	141.47552	1193.27868	174.64752	87.83768	75.40044	0.48087	0.00951	-0.94000	0.34105	-0.03651	-0.34117	-0.93929	0.99929	-0.00352	-0.03757	
193.30750	68.71472	957.52321	73.23354	75.13661	-175.97482	0.64349	-0.25588	-0.94342	0.21092	0.01801	-0.22280	-0.97470	0.96654	-0.24561	0.07400		202.13929	140.20012	1193.40048	-179.89708	87.93262	69.90496	0.44938	0.01239	-0.93974	0.34167	-0.03388	-0.34189	-0.93913	0.99935	0.00006	-0.03607	
193.87580	67.00918	957.74496	72.78629	75.08386	-175.58597	0.62976	-0.25664	-0.94306	0.21160	0.01981	-0.22402	-0.97438	0.96630	-0.24588	0.07618		202.24478	138.85013	1193.47886	177.07111	88.06226	72.84106	0.44463	0.00998	-0.93918	0.34329	-0.03231	-0.34343	-0.93862	0.99943	-0.00173	-0.03377	
194.43476	65.34244	957.90202	72.32536	74.91232	-175.24847	0.61995	-0.25940	-0.94194	0.21321	0.02156	-0.22636	-0.97380	0.96553	-0.24801	0.07903		202.40124	137.45721	1193.59662	175.45836	88.19296	74.34983	0.45816	0.00851	-0.93855	0.34503	-0.03036	-0.34513	-0.93806	0.99950	-0.00250	-0.03143	
194.96239	63.53904	958.18736	71.86198	74.94713	-174.84509	0.63493	-0.25866	-0.94196	0.21402	0.02333	-0.22759	-0.97348	0.96569	-0.24681	0.08085		202.52740	136.09980	1193.73406	175.06313	88.27765	74.68336	0.44416	0.00794	-0.93818	0.34606	-0.02899	-0.34614	-0.93774	0.99955	-0.00259	-0.02994	
195.52892	61.71267	958.38145	71.54616	74.83207	-174.61977	0.60721	-0.26050	-0.94118	0.21522	0.02453	-0.22930	-0.97305	0.96516	-0.24819	0.08282		202.73244	134.58709	1193.87792	172.69720	88.38350	76.92554	0.45146	0.00638	-0.93743	0.34811	-0.02748	-0.34815	-0.93704	0.99960	-0.00359	-0.02798	
196.04782	59.86730	958.64787	71.18176	74.74677	-174.34477	0.60813	-0.26181	-0.94054	0.21641	0.02593	-0.23101	-0.97261	0.96477	-0.24902	0.08486		202.92506	133.10884	1194.03200	172.86218	88.45325	76.70226	0.43014	0.00621	-0.93708	0.34907	-0.02627	-0.34911	-0.93671	0.99964	-0.00335	-0.02678	
196.56876	57.92620	958.91592	70.85016	74.73532	-174.08763	0.61159	-0.26188	-0.94028	0.21748	0.02712	-0.23242	-0.97224	0.96472	-0.24871	0.08637		203.17258	131.55555	1194.20655	169.53674	88.50648	79.94061	0.43009	0.00455	-0.93654	0.35052	-0.02566	-0.35052	-0.93620	0.99966	-0.00473	-0.02563	
